1. Для операционных систем:;windows event ID;команды для проверки;wazuh rules;ссылки
"запуск и (или) остановка системы;";1074;;"  <rule id=""111001"" level=""7"">
    <if_group>windows_system</if_group>
    <field name=""win.system.eventID"">^1074$</field>
    <description>130 - Процесс $(win.eventdata.param1) инициировал действие ""$(win.eventdata.param5)"" для компьютера $(win.eventdata.param2) от имени пользователя $(win.eventdata.param7) по причине: $(win.eventdata.param3)</description>
  </rule>";
"запуск и (или) остановка процессов;";"запуск 4688
остановка 4689";"Working with cmd.exe:

tasklist
taskkill /F /PID pid_number

If you have Powershell:

get-process

Via WMI:

wmic process";"  <rule id=""160229"" level=""3"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4688$</field>
    <options>no_full_log</options>
    <description>130 - Создан новый процесс : $(win.eventdata.NewProcessName) - parent [$(win.eventdata.parentProcessName)]</description>
  </rule>
  
    <rule id=""160230"" level=""3"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4689$</field>
    <options>no_full_log</options>
    <description>130 - Выполнен выход из процесса : $(win.eventdata.processName) - пользователь [$(win.eventdata.subjectUserName)]</description>
  </rule>";запуск https://learn.microsoft.com/ru-ru/windows/security/threat-protection/auditing/event-4688
"подключение съемных машинных носителей информации;";"6416(S): Новое внешнее устройство было распознано системой
6419(S): был сделан запрос на отключение устройства
6420(S): устройство было отключено.
6421(S): был сделан запрос на включение устройства.
6422(S): устройство было включено.
6423(S): установка этого устройства запрещена системной политикой.
6424(S): установка этого устройства была разрешена, после того как ранее было запрещено политикой.";;"  <rule id=""160228"" level=""3"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^6416$</field>
    <options>no_full_log</options>
    <description>Подключение USB - $(win.eventdata.DeviceDescription)</description>
  </rule>";all https://learn.microsoft.com/ru-ru/windows/security/threat-protection/auditing/audit-pnp-activity
"подключение иных периферийных устройств к портам ввода (вывода) (мобильные устройства, сетевые адаптеры, беспроводные модемы и иные);";6416;;"  <rule id=""160228"" level=""3"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^6416$</field>
    <options>no_full_log</options>
    <description>Подключение USB - $(win.eventdata.DeviceDescription)</description>
  </rule>";
"установка и удаление программного обеспечения (изменение компонентов программного обеспечения);";"4697 - новый сервис установлен
11707 - установлено с помощью wininstal
11724 - удалено";;;установлено - https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4697
"аутентификация (вход и (или) выход) пользователей в операционной системе, успешные и неуспешные попытки аутентификации;";"528 или 4624 — Успешный вход в систему
529 или 4625 — Отказ входа в систему – Неизвестное имя пользователя или неверный пароль
530 или 4625 Отказ входа в систему – Вход в систему не был осуществлен в течение обозначенного периода времени
531 или 4625 — Отказ входа в систему – Учетная запись временно деактивирована
532 или 4625 — Отказ входа в систему – Срок использования указанной учетной записи истек
533 или 4625 — Отказ входа в систему – Пользователю не разрешается осуществлять вход в систему на данном компьютере
534 или 4625 или 5461 — Отказ входа в систему – Пользователь не был разрешен запрашиваемый тип входа на данном компьютере
535 или 4625 — Отказ входа в систему – Срок действия пароля указанной учетной записи истек
539 или 4625 — Отказ входа в систему – Учетная запись заблокирована
540 или 4624 — Успешный сетевой вход в систему (Только Windows 2000, XP, 2003)

4634(S):осуществлен выход учетной записи из системы

4647(S): инициированный пользователем выход.";https://habr.com/ru/companies/netwrix/articles/148501/;"    <rule id=""170023"" level=""12"">
        <if_sid>60103</if_sid>
        <field name=""win.system.eventID"">^4647$</field>
        <description>130 - Пользователь [ $(win.eventdata.targetUserName) ] вышел из системы [ $(win.system.computer) ]</description>
    </rule>
    
    <rule id=""170024"" level=""12"">
        <if_sid>60103</if_sid>
        <field name=""win.system.eventID"">^4634$</field>
        <description>130 - Выполнен выход учетной записи [ $(win.eventdata.targetUserName) ] из системы  [ $(win.system.computer) ]</description>
    </rule>
    
    
    <rule id=""170025"" level=""12"">
        <if_sid>60103</if_sid>
        <field name=""win.system.eventID"">^4624$</field>
        <description>130 - Вход в учетную запись [ $(win.eventdata.targetUserName) ] выполнен успешно [ $(win.system.computer) ]</description>
    </rule>
    
    <rule id=""170026"" level=""12"">
        <if_sid>60103</if_sid>
        <field name=""win.system.eventID"">^4625$</field>
        <description>130 - Учетной записи [ $(win.eventdata.targetUserName) ] не удалось выполнить вход в систему  [ $(win.system.computer) ] из [ $(win.eventdata.ipAddress) ]</description>
    </rule>";
"использование привилегированных учетных записей пользователей;";"4673(S, F): вызвана привилегированная служба.
4674(S, F): предпринята попытка выполнения операции с привилегированным объектом.
4985(S): состояние транзакции изменилось.
4673(S, F): вызвана привилегированная служба.
4674(S, F): предпринята попытка выполнения операции с привилегированным объектом.
4985(S): состояние транзакции изменилось.
4985(S): состояние транзакции изменилось.";https://learn.microsoft.com/ru-ru/windows/security/threat-protection/auditing/audit-sensitive-privilege-use;"  <rule id=""160225"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4673$</field>
    <options>no_full_log</options>
    <description>130 - Вызвана привилегированная служба [$(win.eventdata.processName)] на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>";https://learn.microsoft.com/ru-ru/windows/security/threat-protection/auditing/audit-non-sensitive-privilege-use
"создание, удаление, модификация учетных записей пользователей;";"4720(S): создана учетная запись пользователя
4725(S): учетная запись пользователя отключена.
4722(S): учетная запись пользователя включена.
4726(S): учетная запись пользователя удалена.";https://learn.microsoft.com/ru-ru/windows/security/threat-protection/auditing/audit-computer-account-management;"  <rule id=""160222"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4722$</field>
    <options>no_full_log</options>
    <description>130 - Учетная запись пользователя включена [$(win.eventdata.targetUserName)] на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>

  <rule id=""160223"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4725$</field>
    <options>no_full_log</options>
    <description>130 - Отключена учетная запись пользователя [$(win.eventdata.targetUserName)] на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>

  <rule id=""160224"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4720$</field>
    <options>no_full_log</options>
    <description>130 - Cоздана учетная запись пользователя [$(win.eventdata.targetUserName)] на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>

  <rule id=""160221"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4726$</field>
    <options>no_full_log</options>
    <description>130 - Учетная запись пользователя удалена [$(win.eventdata.targetUserName)] на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>
";"net user qwerty 11111111 /add
net user qwerty /active:no
net user qwerty /active:yes
net user qwerty /del"
"неудавшиеся или отмененные действия пользователя и (или) процессы;";;;;
"создание или изменение параметров заданий в планировщике задач;";создание 4698;изменение 4702;"  <rule id=""160226"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4698$</field>
    <options>no_full_log</options>
    <description>130 - Создана задача [$(win.eventdata.taskName)], выполняемая по расписанию на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>
  
  <rule id=""160227"" level=""12"">
    <if_sid>60103</if_sid>
    <field name=""win.system.eventID"">^4702$</field>
    <options>no_full_log</options>
    <description>130 - Обновлена задача [$(win.eventdata.taskName)], выполняемая по расписанию на [ PC - $(win.system.computer) ] [ пользователем - $(win.eventdata.subjectUserName) ]</description>
  </rule>";
